osm_index,ai_index,iou,centroid_offset_m
1,359,0.8110,2.09
52,108,0.7804,1.41
85,197,0.7663,1.70
43,519,0.7231,2.39
3,419,0.6978,1.52
7,336,0.6886,4.07
39,383,0.6862,1.73
47,361,0.6859,4.51
9,517,0.6729,1.48
12,330,0.6673,6.12
41,522,0.6625,2.69
20,473,0.6566,1.84
0,325,0.6252,2.11
46,357,0.6100,2.47
19,422,0.6042,2.61
13,466,0.6038,5.42
48,311,0.6030,5.19
6,436,0.5922,3.67
84,94,0.5465,4.88
32,468,0.5323,3.83
15,418,0.5227,6.13
51,459,0.5131,7.15
30,401,0.5035,5.33
88,82,0.5029,5.33
26,345,0.4847,4.77
27,530,0.4807,4.14
8,421,0.4245,5.56
54,34,0.3995,9.29
50,385,0.3905,9.11
49,479,0.3883,5.81
21,553,0.3848,6.21
17,461,0.3765,5.80
23,410,0.3739,6.78
24,395,0.3689,8.94
42,499,0.3653,5.62
28,408,0.3598,5.54
44,488,0.3428,6.36
40,356,0.3405,8.47
34,318,0.3383,14.02
5,496,0.3322,7.93
14,400,0.3141,8.65
31,413,0.3032,9.66
4,595,0.2964,5.73
33,471,0.2576,7.70
29,313,0.2256,6.43
82,141,0.2220,12.65
11,458,0.1993,9.56
37,355,0.1979,10.26
18,411,0.1936,8.89
38,372,0.1880,9.30
25,364,0.1868,8.35
45,464,0.1810,10.28
10,321,0.1074,11.98
